short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wtotal_peak_cm3_fs
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,32,32196296622896.055,0.8590838929191182,1.537384809220569e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,33,39407786555603.33,0.7765108265516091,2.497466985518677e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,34,48234542605984.18,0.7018744836467713,3.191930358134171e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,35,59038360277499.79,0.6344120055377984,3.711140277424326e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,36,72262071866799.61,0.5734338576882166,6.115497076934612e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,37,88447697495972.39,0.5183167819537703,7.162814444751994e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,38,108258661705121.53,0.46849742625588386,1.0518986037720349e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,39,132506986230112.27,0.4234665865554863,1.3118776221719574e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,40,162186573556696.0,0.3827640022743945,1.9442797526499946e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,41,198513945494021.47,0.34597365196820773,2.322410575582003e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,42,242978106580613.12,0.31271950116774566,3.192998196040829e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,43,297401576149106.44,0.2826616589276866,4.517781080423087e+22
