short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wtotal_peak_cm3_fs,Wtotal_direct_at_lidt_cm3_fs
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,43,297401576149106.44,0.2822337262204409,1.7140759135548592e+22,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,44,364015090662616.4,0.2551061029482117,2.261147359845216e+22,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,45,445549038259562.0,0.23058592122542138,3.2610982802998306e+22,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,46,545345373271936.4,0.20842256007560062,4.107559759231748e+22,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,47,667494597925378.0,0.18838948760449478,5.243776237212972e+22,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,48,817003425895741.2,0.17028194561572702,6.856956968847119e+22,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,49,1000000000000000.0,0.15391485677561553,9.146067891805848e+22,1.0342296849722012e+19
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,0,49999999999.99999,21.766847790278796,1085771520997.5873,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,1,61199253779.35998,19.67467101684302,1990929132902.2524,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,2,74906973263.01015,17.78358921560892,3650654112190.107,3.809452679886997e+16
