short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,36,47148663634573.9,10000000000.0,13.673469387755102,10.0,5.320575654420514e+20,32.48456010245294,5.320575654420514e+20,20.725958622899068
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,37,59636233165946.37,10000000000.0,13.775510204081632,10.0,1.0282901745144635e+21,41.088265312837,1.0282901745144635e+21,21.01211568606753
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,38,75431200633546.08,10000000000.0,13.877551020408163,10.0,1.949359214724864e+21,51.970706732476366,1.949359214724864e+21,21.289891875340388
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,39,95409547634999.64,10000000000.0,13.979591836734695,10.0,1.797595432987317e+21,65.73541953422966,1.797595432987317e+21,21.25469195603383
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,40,120679264063932.64,10000000000.0,14.081632653061224,10.0,3.4339523817128633e+21,83.14578833004155,3.4339523817128633e+21,21.535794268546876
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,41,152641796717523.66,10000000000.0,14.183673469387756,10.0,6.189213144576291e+21,105.16738412879967,6.189213144576291e+21,21.79163543921558
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,42,193069772888324.56,10000000000.0,14.285714285714285,10.0,7.105987726660432e+21,133.02151445833653,7.105987726660432e+21,21.85162445304801
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,43,244205309454865.47,10000000000.0,14.387755102040817,10.0,1.1946532701001776e+22,168.25295651661978,1.1946532701001776e+22,22.077241876219485
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,44,308884359647748.5,10000000000.0,14.489795918367347,10.0,1.6126106676818627e+22,212.81562980137383,1.6126106676818627e+22,22.207529528401473
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,45,390693993705462.06,10000000000.0,14.591836734693878,10.0,2.0808071415250144e+22,269.180959582613,2.0808071415250144e+22,22.318231829729715
