I_wm2,Wav_cm3_fs,Wpi_cm3_fs,diagnostic_only,ne_total_cm3,time_s
2.732066825383439e+16,290.2937690880927,409473737729.4996,True,1715251823629.5762,-6.840934371523916e-14
2.8017731795934132e+16,408.83066843005,475514183570.3392,True,2010064244127.6038,-6.774193548387098e-14
2.872548422234159e+16,573.9723538177441,551367579181.6633,True,2352158047165.055,-6.707452725250275e-14
2.9443841540361664e+16,803.3057302999973,638350320047.121,True,2748513586704.2603,-6.640711902113457e-14
3.017270969088834e+16,1120.7630171262922,737932806723.1483,True,3207040395747.0176,-6.573971078976639e-14
3.0911984390758412e+16,1558.8001298819493,851754074900.4235,True,3736684800708.1445,-6.50723025583982e-14
3.1661550983963828e+16,2161.2822857938477,981637333731.1726,True,4347547600954.4106,-6.440489432703002e-14
3.2421284302164676e+16,2987.2922050246793,1129606400625.806,True,5051012428288.526,-6.373748609566184e-14
3.319104853493981e+16,4116.137072865483,1297903008565.824,True,5859885360870.529,-6.307007786429366e-14
3.397069711020603e+16,5653.906903816397,1489004948269.6255,True,6788546366432.391,-6.240266963292548e-14
3.476007258522885e+16,7742.032660053119,1705644992256.9675,True,7853113128833.1,-6.17352614015573e-14
3.5559006548639748e+16,10568.411600115694,1950830530972.5012,True,9071617738542.15,-6.106785317018907e-14
3.636731953386517e+16,14381.815020608523,2227863832665.4985,True,10464196698960.004,-6.040044493882089e-14
3.718482094436263e+16,19510.47566565445,2540362818730.144,True,12053294644793.434,-5.97330367074527e-14
3.801130899104657e+16,26385.975353889546,2892282224756.905,True,13863882053713.43,-5.906562847608452e-14
3.884657064227538e+16,35573.82597272151,3287934994756.4204,True,15923687164947.338,-5.839822024471634e-14
3.9690381586756504e+16,47812.46791168359,3732013732030.403,True,18263442218210.223,-5.773081201334816e-14
4.054250620971257e+16,64062.8093250622,4229612005188.644,True,20917143963475.984,-5.706340378197998e-14
4.140269758263532e+16,85570.90926199949,4786245282072.675,True,23922328277029.89,-5.63959955506118e-14
4.227069746693799e+16,113946.9803186183,5407871238139.942,True,27320358566837.883,-5.5728587319243616e-14
4.314623633179895e+16,151264.56575066914,6100909159513.163,True,31156727437138.055,-5.5061179087875385e-14
4.402903338647072e+16,200184.54767738405,6872258134792.462,True,35481370914450.77,-5.4393770856507203e-14
4.49187966273101e+16,264109.58286662714,7729313704284.806,True,40348994329352.25,-5.372636262513902e-14
4.581522289976247e+16,347375.65695728175,8679982611002.519,True,45819408689198.59,-5.305895439377084e-14
4.67179979755147e+16,455488.7147036866,9732695275135.578,True,51957876157381.83,-5.239154616240266e-14
4.7626796645006984e+16,595415.7791642015,10896415593258.252,True,58835462994943.76,-5.172413793103448e-14
4.854128282547191e+16,775941.6323137541,12180647645880.396,True,66529398028292.055,-5.10567296996663e-14
4.946110968464506e+16,1008104.0085163624,13595438882708.354,True,75123434444445.34,-5.0389321468298116e-14
5.038591978026667e+16,1305722.3613150744,15151379344767.926,True,84708212416346.95,-4.9721913236929934e-14
5.131534521546929e+16,1686037.6110533213,16859596476998.021,True,95381619759543.36,-4.90545050055617e-14
5.2249007810119144e+16,2170482.869096245,18731745084684.04,True,107249147536222.56,-4.838709677419352e-14
5.3186519288154776e+16,2785607.9583892324,20779991992786.918,True,120424237208190.3,-4.771968854282534e-14
5.412748148093612e+16,3564183.5990517857,23016994979406.645,True,135028615665005.7,-4.705228031145716e-14
5.50714865465925e+16,4546514.378136682,25455875573874.594,True,151192614176405.8,-4.638487208008898e-14
5.601811720532826e+16,5781993.037932584,28110185336735.977,True,169055467022836.5,-4.5717463848720796e-14
5.6966946990616616e+16,7330932.1536982,30993865273622.254,True,188765585353635.28,-4.5050055617352615e-14
5.7917540516183384e+16,9266712.860230636,34121198077982.086,True,210480801595129.38,-4.4382647385984434e-14
5.88694537586532e+16,11678293.84234287,37506752949085.484,True,234368579498792.16,-4.37152391546162e-14
5.982223435570055e+16,14673127.24209662,41165322791712.336,True,260606184879827.97,-4.304783092324802e-14
6.077542191952018e+16,18380531.299646426,45111853672392.27,True,289380811835390.3,-4.238042269187984e-14
